('OWD', '200102171015')
('SRQ', '20001206915')
('DAL', '200012201630')
('41A', '200012301142')
('CT89', '200012301142')
('PEO', '200012301142')
('PPQ', '200101271737')
('7NJ0', '200101181530')
('3OH2', '200101011529')
('SEA', '200102122015')
('CDB', '200103201824')
('IN15', '200103201824')
('25FL', '200103201824')
('9MO4', '200103201824')
('TN37', '200103201824')
('85CO', '200103291400')
('IA54', '20010506947')
('26LL', '200104131700')
('II72', '200105241120')
('5MI4', '200104151700')
('MY49', '200105112000')
('OH43', '200103312225')
('99VA', '200105232100')
('AK19', '200106071220')
('TEB', '200104071403')
('FA11', '200106091430')
('2MO1', '200105161645')
('AEG', '2001052740')
('PCM', '200103191630')
('CMA', '200104241015')
('IGM', '200103261125')
('LMO', '200103291901')
('OI96', '20010401931')
('DE21', '20010401847')
('39LA', '200103311600')
('LA53', '200106091215')
('5LA7', '200106091215')
('TS79', '20010531810')
('MU41', '20010531810')
('9G1', '200105201300')
('83OH', '200104161230')
('T67', '20010527945')
('MS75', '200104261620')
('FL78', '200104221200')
('22II', '200104221200')
('1OH9', '200104221200')
('XS52', '200105271255')
('7WI4', '200104191600')
('COS', '200105171456')
('72KY', '20010416805')
('SD59', '200104131430')
('6WA6', '20010408848')
('WV65', '200103211400')
('9Y2', '200103161400')
('OJC', '20010318930')
('FYV', '200103291430')
('MU41', '20010609650')
('SAR', '200103201225')
('CO82', '200103311310')
('57S', '200104301430')
('AHP', '200105201140')
('79C', '200106051630')
('UT25', '200104141224')
('7V8', '200105271430')
('WI92', '200105201000')
('CT89', '2001040123')
('GWS', '200104271740')
('4N1', '200104221110')
('6NJ7', '200105021305')
('4AZ7', '200105131300')
('SQL', '20010331940')
('4SD', '20010521840')
('3MO7', '200104051455')
('1AL6', '200104181330')
('GA24', '200104221130')
('DCA', '200104161735')
('DWH', '200106291030')
('DVO', '200107211325')
('CT89', '200107211830')
('CT86', '200107152000')
('FL55', '200106221550')
('TBN', '200107311726')
('D79', '200107281730')
('CN12', '200107261930')
('3GE2', '200107201030')
('IL52', '200107251310')
('9II6', '200107051935')
('90KY', '20010728930')
('MO98', '20010620810')
('NM05', '20010627830')
('9X1', '200107071545')
('1WI1', '20010703933')
('TVY', '200107221130')
('X44', '20010611729')
('OWA', '200107031930')
('02C', '200106151300')
('3AK4', '200106151300')
('CA91', '200107081145')
('FD07', '200106281130')
('90IL', '20010615410')
('IS94', '200107142')
('3IN4', '200107291045')
('24MI', '200106182200')
('7MN6', '20010728930')
('MY86', '200108132130')
('2ND7', '200107012240')
('NY50', '200108022100')
('2PA5', '200106241530')
('WY20', '200109102023')
